"","Released","Age","Gender","Employed","Records","Priority"
"439","Yes",19,"M","Yes",3,"Considerable Attention"
"441","Yes",23,"M","Yes",1,"Common"
"443","Yes",23,"M","Yes",3,"Common"
"444","Yes",19,"M","Yes",0,"Common"
"447","Yes",32,"M","Yes",0,"Common"
"449","No",43,"M","Yes",1,"Common"
"450","Yes",15,"M","Yes",0,"Common"
"451","Yes",17,"M","Yes",4,"High Attendition"
"452","No",18,"M","Yes",2,"Common"
"454","Yes",30,"M","Yes",0,"Common"
"456","No",26,"M","No",3,"Common"
"459","Yes",17,"M","Yes",2,"High Attendition"
"461","Yes",20,"M","Yes",0,"Common"
"463","Yes",16,"M","Yes",0,"Common"
"467","No",54,"M","Yes",0,"Common"
"470","Yes",17,"M","Yes",0,"Common"
"472","Yes",19,"M","Yes",0,"Common"
"476","Yes",14,"M","Yes",0,"Common"
"478","Yes",19,"M","No",1,"Common"
"480","No",21,"M","Yes",2,"Common"
"481","Yes",36,"M","Yes",2,"Common"
"489","Yes",16,"M","Yes",0,"Common"
"492","Yes",28,"M","Yes",0,"Common"
"493","Yes",25,"M","Yes",0,"Common"
"497","No",28,"M","Yes",4,"Common"
"500","Yes",32,"M","Yes",2,"Common"
"505","Yes",18,"F","Yes",0,"Common"
"509","Yes",18,"M","Yes",0,"Common"
"510","No",15,"F","Yes",4,"High Attendition"
"512","Yes",23,"M","No",3,"Common"
"515","Yes",39,"M","No",3,"Common"
"516","Yes",31,"M","Yes",0,"Common"
"520","No",24,"M","No",3,"Common"
"521","Yes",39,"M","Yes",3,"Common"
"522","No",19,"M","No",3,"Considerable Attention"
"523","Yes",34,"M","No",1,"Common"
"525","No",48,"M","Yes",4,"Common"
"526","Yes",26,"M","No",3,"Common"
"527","Yes",39,"M","Yes",0,"Common"
"528","No",16,"M","Yes",3,"High Attendition"
"530","Yes",25,"M","Yes",3,"Common"
"531","Yes",15,"M","Yes",1,"Common"
"532","Yes",17,"M","Yes",1,"Common"
"533","Yes",21,"M","Yes",1,"Common"
"534","Yes",20,"M","Yes",2,"Common"
"536","No",18,"M","Yes",0,"Common"
"539","Yes",18,"M","Yes",1,"Common"
"543","Yes",31,"M","Yes",4,"Common"
"544","Yes",28,"M","Yes",1,"Common"
"546","Yes",17,"M","Yes",1,"Common"
"548","Yes",15,"F","Yes",0,"Common"
"549","Yes",23,"M","Yes",1,"Common"
"550","Yes",16,"M","Yes",3,"High Attendition"
"551","No",43,"M","Yes",3,"Common"
"552","Yes",16,"F","Yes",0,"Common"
"554","Yes",27,"M","Yes",4,"Common"
"555","Yes",17,"M","Yes",0,"Common"
"556","Yes",16,"M","Yes",0,"Common"
"557","Yes",33,"M","Yes",0,"Common"
"558","Yes",39,"M","No",0,"Common"
"559","No",27,"M","Yes",3,"Common"
"561","Yes",30,"M","Yes",4,"Common"
"564","Yes",16,"M","Yes",0,"Common"
"566","Yes",25,"M","No",1,"Common"
"567","Yes",18,"M","Yes",4,"Common"
"568","Yes",13,"M","No",4,"High Attendition"
"569","Yes",32,"F","No",3,"Common"
"570","No",45,"M","Yes",3,"Common"
"571","Yes",20,"M","Yes",3,"Considerable Attention"
"576","Yes",20,"M","Yes",1,"Common"
"578","Yes",21,"M","Yes",4,"Considerable Attention"
"581","Yes",18,"M","Yes",0,"Common"
"582","Yes",45,"M","Yes",0,"Common"
"583","No",16,"M","Yes",0,"Common"
"584","Yes",21,"M","No",3,"Considerable Attention"
"586","Yes",26,"M","Yes",0,"Common"
"589","Yes",18,"M","Yes",0,"Common"
"595","Yes",23,"M","No",1,"Common"
"596","Yes",20,"M","Yes",3,"Considerable Attention"
"597","Yes",18,"M","Yes",3,"Common"
"599","Yes",28,"M","Yes",0,"Common"
"600","No",31,"M","Yes",0,"Common"
"601","Yes",20,"M","Yes",1,"Common"
"604","Yes",20,"M","Yes",0,"Common"
"605","Yes",18,"M","Yes",0,"Common"
"609","Yes",33,"M","Yes",0,"Common"
"611","Yes",16,"F","No",0,"Common"
"612","Yes",24,"M","Yes",1,"Common"
"613","Yes",41,"M","Yes",3,"Common"
"615","Yes",22,"M","No",0,"Common"
"618","Yes",15,"M","Yes",1,"Common"
"619","No",35,"M","No",4,"Common"
"620","Yes",19,"M","Yes",0,"Common"
"623","Yes",20,"M","Yes",0,"Common"
"624","Yes",21,"M","Yes",0,"Common"
"625","Yes",22,"M","Yes",4,"Common"
"629","Yes",17,"M","Yes",1,"Common"
"630","No",19,"M","No",5,"Considerable Attention"
"632","Yes",21,"M","Yes",1,"Common"
"633","Yes",26,"M","Yes",1,"Common"
"636","No",17,"M","No",4,"High Attendition"
"639","Yes",18,"M","No",4,"Common"
"642","Yes",26,"F","Yes",0,"Common"
"643","Yes",35,"M","Yes",0,"Common"
"646","Yes",16,"M","Yes",0,"Common"
"649","Yes",20,"M","No",3,"Considerable Attention"
"650","Yes",24,"M","Yes",0,"Common"
"656","Yes",17,"M","Yes",0,"Common"
"657","Yes",15,"M","Yes",0,"Common"
"658","Yes",17,"M","Yes",0,"Common"
"660","Yes",35,"M","Yes",1,"Common"
"661","Yes",26,"M","No",3,"Common"
"662","No",27,"M","Yes",3,"Common"
"664","No",17,"M","Yes",0,"Common"
"665","Yes",42,"M","Yes",3,"Common"
"667","Yes",40,"M","Yes",1,"Common"
"669","No",20,"F","Yes",5,"Considerable Attention"
"670","Yes",19,"F","Yes",0,"Common"
"671","Yes",30,"M","No",1,"Common"
"675","Yes",14,"M","Yes",0,"Common"
"678","Yes",24,"M","Yes",0,"Common"
"680","Yes",17,"M","Yes",2,"High Attendition"
"681","Yes",27,"M","Yes",0,"Common"
"684","Yes",36,"M","Yes",1,"Common"
"685","Yes",17,"M","No",4,"High Attendition"
"686","No",37,"M","Yes",1,"Common"
"687","Yes",32,"M","Yes",0,"Common"
"688","Yes",15,"M","Yes",2,"High Attendition"
"692","Yes",23,"M","Yes",0,"Common"
"696","No",16,"M","Yes",3,"High Attendition"
"698","Yes",16,"M","No",4,"High Attendition"
"699","No",19,"M","No",4,"Considerable Attention"
"700","No",19,"M","No",4,"Considerable Attention"
"701","No",24,"M","Yes",5,"Common"
"703","No",22,"F","No",0,"Common"
"704","No",22,"F","No",0,"Common"
"706","Yes",19,"M","Yes",0,"Common"
"707","Yes",16,"M","Yes",2,"High Attendition"
"708","Yes",18,"M","No",1,"Common"
"710","No",20,"M","No",4,"Considerable Attention"
"714","Yes",18,"F","Yes",2,"Common"
"715","No",22,"M","Yes",4,"Common"
"716","Yes",28,"M","Yes",3,"Common"
"718","No",34,"M","No",0,"Common"
"719","Yes",21,"M","No",2,"Common"
"722","Yes",18,"M","Yes",1,"Common"
"726","No",18,"F","Yes",0,"Common"
"727","Yes",18,"M","No",3,"Common"
"730","Yes",19,"M","Yes",0,"Common"
"731","Yes",34,"M","Yes",1,"Common"
"732","Yes",22,"M","No",3,"Common"
"734","Yes",23,"M","Yes",2,"Common"
"735","Yes",21,"F","Yes",0,"Common"
"736","Yes",20,"M","Yes",0,"Common"
"739","Yes",18,"M","Yes",1,"Common"
"743","Yes",20,"M","Yes",4,"Considerable Attention"
"744","Yes",54,"M","Yes",3,"Common"
"747","Yes",33,"F","No",4,"Common"
"750","Yes",28,"M","Yes",1,"Common"
"753","No",15,"M","Yes",3,"High Attendition"
"755","Yes",38,"M","Yes",4,"Common"
"758","Yes",16,"M","Yes",2,"High Attendition"
"760","Yes",14,"M","Yes",1,"Common"
"766","Yes",18,"M","Yes",2,"Common"
"767","Yes",19,"F","Yes",0,"Common"
"769","Yes",18,"M","Yes",3,"Common"
"770","Yes",19,"M","Yes",0,"Common"
"771","Yes",18,"M","No",0,"Common"
"773","Yes",29,"M","No",0,"Common"
"782","Yes",37,"M","Yes",3,"Common"
"785","Yes",26,"M","Yes",1,"Common"
"787","Yes",23,"M","Yes",0,"Common"
"791","Yes",31,"M","Yes",0,"Common"
"792","No",20,"M","Yes",3,"Considerable Attention"
"793","Yes",30,"M","Yes",2,"Common"
"794","Yes",16,"M","Yes",3,"High Attendition"
"796","Yes",41,"M","Yes",2,"Common"
"799","Yes",18,"M","Yes",1,"Common"
"800","Yes",20,"M","Yes",0,"Common"
"801","No",21,"F","No",4,"Considerable Attention"
"802","Yes",23,"M","Yes",1,"Common"
"803","No",21,"M","Yes",3,"Considerable Attention"
"806","Yes",19,"M","Yes",1,"Common"
"809","Yes",17,"M","Yes",3,"High Attendition"
"811","Yes",21,"F","Yes",0,"Common"
"812","Yes",19,"M","Yes",1,"Common"
"815","Yes",29,"M","Yes",2,"Common"
"817","Yes",18,"M","Yes",2,"Common"
"818","No",16,"M","Yes",0,"Common"
"819","Yes",16,"M","Yes",0,"Common"
"820","Yes",17,"M","Yes",3,"High Attendition"
"823","Yes",22,"M","No",2,"Common"
"824","Yes",23,"M","Yes",3,"Common"
"826","Yes",17,"M","Yes",0,"Common"
"828","Yes",26,"M","Yes",0,"Common"
"833","Yes",19,"M","Yes",0,"Common"
"836","Yes",20,"M","Yes",1,"Common"
"838","Yes",35,"M","Yes",2,"Common"
"839","No",26,"M","Yes",1,"Common"
"842","No",16,"M","Yes",1,"Common"
"849","Yes",20,"F","Yes",0,"Common"
"851","Yes",19,"M","Yes",1,"Common"
"854","Yes",16,"M","Yes",0,"Common"
"855","Yes",24,"M","Yes",3,"Common"
"859","No",19,"M","No",4,"Considerable Attention"
"863","No",27,"M","Yes",3,"Common"
"864","Yes",21,"M","Yes",0,"Common"
"865","Yes",17,"M","Yes",0,"Common"
"867","Yes",31,"M","No",1,"Common"
"869","Yes",15,"M","Yes",1,"Common"
"870","Yes",18,"M","Yes",3,"Common"
"871","Yes",22,"M","Yes",1,"Common"
"872","Yes",16,"M","Yes",0,"Common"
"873","Yes",19,"M","No",4,"Considerable Attention"
"876","Yes",19,"M","Yes",0,"Common"
"877","Yes",18,"M","Yes",2,"Common"
"880","Yes",19,"M","No",2,"Common"
"882","Yes",20,"M","Yes",2,"Common"
"884","Yes",26,"M","No",2,"Common"
"886","Yes",15,"M","Yes",0,"Common"
"890","Yes",18,"M","No",3,"Common"
"891","Yes",20,"M","Yes",4,"Considerable Attention"
"892","Yes",20,"M","Yes",3,"Considerable Attention"
"893","Yes",24,"M","Yes",0,"Common"
"897","Yes",17,"M","No",0,"Common"
"898","Yes",19,"M","Yes",2,"Common"
"905","No",15,"M","Yes",3,"High Attendition"
"906","Yes",25,"M","Yes",1,"Common"
"908","Yes",20,"M","No",0,"Common"
"909","No",29,"M","No",4,"Common"
"912","Yes",30,"M","No",2,"Common"
"913","Yes",23,"M","Yes",2,"Common"
"914","Yes",51,"M","No",4,"Common"
"915","No",35,"M","Yes",4,"Common"
"917","Yes",18,"M","Yes",4,"Common"
"919","Yes",22,"M","Yes",3,"Common"
"920","Yes",23,"M","Yes",1,"Common"
"921","Yes",17,"M","Yes",0,"Common"
"922","Yes",38,"M","Yes",3,"Common"
"923","Yes",27,"M","Yes",2,"Common"
"928","Yes",18,"M","Yes",1,"Common"
"929","Yes",33,"M","Yes",3,"Common"
"931","Yes",33,"M","No",4,"Common"
"932","No",19,"M","Yes",4,"Considerable Attention"
"937","Yes",22,"M","Yes",3,"Common"
"938","No",17,"M","Yes",4,"High Attendition"
"941","Yes",39,"M","No",2,"Common"
"942","Yes",14,"M","Yes",1,"Common"
"944","Yes",24,"M","Yes",1,"Common"
"946","Yes",18,"M","Yes",1,"Common"
"949","Yes",49,"F","Yes",0,"Common"
"950","Yes",26,"M","Yes",0,"Common"
"951","Yes",18,"M","Yes",1,"Common"
"954","No",28,"F","Yes",3,"Common"
"956","Yes",18,"M","Yes",1,"Common"
"957","Yes",19,"M","No",2,"Common"
"961","No",18,"M","Yes",3,"Common"
"963","Yes",51,"M","No",3,"Common"
"964","No",27,"M","Yes",0,"Common"
"969","No",19,"F","No",2,"Common"
"972","Yes",17,"M","Yes",0,"Common"
"973","Yes",24,"M","Yes",0,"Common"
"976","Yes",40,"F","No",3,"Common"
"979","Yes",39,"M","Yes",1,"Common"
"982","Yes",30,"M","Yes",0,"Common"
"983","Yes",17,"M","Yes",0,"Common"
"984","Yes",16,"M","Yes",3,"High Attendition"
"985","Yes",20,"M","Yes",1,"Common"
"987","No",22,"F","Yes",0,"Common"
"989","Yes",38,"M","No",1,"Common"
"991","Yes",22,"M","Yes",2,"Common"
"992","Yes",18,"M","Yes",0,"Common"
"996","Yes",18,"M","Yes",0,"Common"
"997","Yes",24,"M","Yes",3,"Common"
"1000","Yes",45,"M","Yes",3,"Common"
"1008","Yes",15,"M","Yes",2,"High Attendition"
"1009","No",18,"M","Yes",0,"Common"
"1010","No",19,"M","Yes",0,"Common"
"1011","Yes",20,"M","No",0,"Common"
"1012","Yes",22,"M","No",3,"Common"
"1013","Yes",20,"F","Yes",0,"Common"
"1015","Yes",28,"M","Yes",2,"Common"
"1016","Yes",34,"M","Yes",0,"Common"
"1017","Yes",16,"M","Yes",4,"High Attendition"
"1018","Yes",20,"M","Yes",0,"Common"
"1020","No",22,"M","No",4,"Common"
"1022","Yes",19,"M","Yes",3,"Considerable Attention"
"1023","Yes",18,"M","Yes",3,"Common"
"1025","Yes",16,"M","Yes",1,"Common"
"1026","Yes",26,"M","Yes",0,"Common"
"1027","Yes",18,"M","Yes",2,"Common"
"1029","Yes",18,"M","No",1,"Common"
"1031","Yes",23,"M","Yes",2,"Common"
"1033","Yes",17,"M","Yes",0,"Common"
"1034","Yes",40,"M","Yes",3,"Common"
"1035","Yes",17,"M","Yes",0,"Common"
"1036","Yes",16,"F","Yes",0,"Common"
"1038","Yes",19,"M","Yes",1,"Common"
"1040","Yes",16,"F","Yes",5,"High Attendition"
"1042","Yes",24,"M","Yes",3,"Common"
"1044","Yes",20,"M","No",4,"Considerable Attention"
"1048","Yes",21,"M","No",2,"Common"
"1049","Yes",18,"M","Yes",0,"Common"
"1052","No",21,"M","Yes",4,"Considerable Attention"
"1053","Yes",21,"M","Yes",3,"Considerable Attention"
"1054","Yes",59,"M","Yes",3,"Common"
"1057","Yes",20,"M","Yes",0,"Common"
"1059","Yes",23,"M","Yes",1,"Common"
"1062","Yes",18,"M","Yes",4,"Common"
"1063","Yes",44,"M","Yes",1,"Common"
"1064","Yes",18,"M","Yes",1,"Common"
"1065","Yes",34,"M","No",3,"Common"
"1068","No",16,"M","Yes",3,"High Attendition"
"1072","Yes",18,"M","Yes",0,"Common"
"1073","Yes",19,"M","No",1,"Common"
"1074","Yes",23,"M","Yes",3,"Common"
"1078","Yes",20,"M","No",2,"Common"
"1079","Yes",22,"M","Yes",0,"Common"
"1081","Yes",21,"M","No",3,"Considerable Attention"
"1090","No",17,"M","Yes",5,"High Attendition"
"1091","Yes",39,"M","Yes",4,"Common"
"1092","Yes",26,"M","Yes",3,"Common"
"1093","No",34,"M","Yes",0,"Common"
"1094","Yes",38,"M","No",3,"Common"
"1095","Yes",34,"M","No",4,"Common"
"1097","Yes",20,"M","Yes",2,"Common"
"1098","Yes",25,"M","Yes",1,"Common"
"1099","Yes",17,"M","Yes",2,"High Attendition"
"1100","Yes",14,"M","Yes",1,"Common"
"1102","Yes",23,"M","Yes",0,"Common"
"1103","Yes",53,"F","Yes",0,"Common"
"1105","Yes",17,"M","Yes",0,"Common"
"1106","Yes",34,"M","Yes",2,"Common"
"1107","No",41,"M","Yes",3,"Common"
"1109","Yes",18,"M","Yes",4,"Common"
"1112","No",36,"M","Yes",3,"Common"
"1113","Yes",23,"M","Yes",0,"Common"
"1115","Yes",18,"F","Yes",1,"Common"
"1116","Yes",38,"M","No",4,"Common"
"1117","Yes",41,"M","No",3,"Common"
"1126","Yes",17,"M","Yes",0,"Common"
"1127","Yes",15,"M","Yes",0,"Common"
"1128","Yes",25,"M","Yes",0,"Common"
"1133","Yes",36,"M","Yes",1,"Common"
"1134","No",20,"M","No",4,"Considerable Attention"
"1136","Yes",54,"M","Yes",0,"Common"
"1137","Yes",17,"M","Yes",4,"High Attendition"
"1138","Yes",21,"M","Yes",0,"Common"
"1141","No",38,"M","Yes",3,"Common"
"1142","Yes",25,"M","Yes",0,"Common"
"1146","Yes",24,"M","No",4,"Common"
"1147","Yes",20,"M","Yes",0,"Common"
"1148","Yes",22,"M","No",4,"Common"
"1150","No",19,"M","Yes",1,"Common"
"1151","Yes",18,"M","Yes",1,"Common"
"1152","Yes",18,"M","Yes",0,"Common"
"1154","Yes",31,"M","Yes",4,"Common"
"1155","Yes",14,"M","Yes",3,"High Attendition"
"1157","Yes",22,"M","No",0,"Common"
"1160","No",17,"M","No",0,"Common"
"1161","Yes",14,"M","Yes",1,"Common"
"1163","Yes",15,"M","Yes",1,"Common"
"1164","Yes",43,"F","No",4,"Common"
"1165","Yes",21,"M","Yes",2,"Common"
"1166","Yes",18,"M","Yes",0,"Common"
"1167","Yes",28,"M","Yes",0,"Common"
"1168","Yes",14,"M","Yes",1,"Common"
"1173","Yes",28,"M","Yes",2,"Common"
"1176","Yes",42,"M","No",4,"Common"
"1177","Yes",17,"M","Yes",0,"Common"
"1178","No",17,"M","No",3,"High Attendition"
"1179","Yes",24,"M","Yes",1,"Common"
"1181","No",20,"M","Yes",0,"Common"
"1182","Yes",45,"M","Yes",1,"Common"
"1185","No",19,"M","Yes",5,"Considerable Attention"
"1191","Yes",15,"M","Yes",1,"Common"
"1192","Yes",36,"M","Yes",3,"Common"
"1196","Yes",23,"M","Yes",0,"Common"
"1197","Yes",26,"F","Yes",0,"Common"
"1198","Yes",17,"M","Yes",3,"High Attendition"
"1199","Yes",20,"M","Yes",1,"Common"
"1200","Yes",18,"M","Yes",3,"Common"
"1203","Yes",17,"M","Yes",4,"High Attendition"
"1205","No",15,"M","Yes",0,"Common"
"1206","No",15,"M","No",1,"Common"
"1208","No",50,"M","Yes",3,"Common"
"1210","Yes",22,"M","Yes",0,"Common"
